 item_id,image_url,inpainting_image_url,item_org_id,xmin,ymin,xmax,ymax,ori_content,tr_content
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17656,147,1383,450,1485,"두부지짐","香煎豆腐"
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17657,1051,1023,1350,1125,"두부전골","豆腐火锅"
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17658,1047,1276,1419,1383,"순두부전골","嫩豆腐火锅"
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17659,168,687,291,736,"굴","牡蛎"
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17660,160,851,409,904,"조개살 · 바지락","海贝肉 · 蛤蜊"
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17661,1059,119,1505,217,"소고기순두부","牛肉嫩豆腐锅"
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17662,1068,200,1182,266,"소고기","牛肉"
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17663,1059,274,1567,380,"김치돼지순두부","辛奇猪肉嫩豆腐锅"
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17664,1068,364,1305,425,"김치 · 돼지고기","辛奇 · 猪肉"
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17665,1051,438,1424,536,"버섯순두부","蘑菇嫩豆腐锅"
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17666,1059,519,1329,585,"느타리 · 표고버섯","平菇 · 香菇"
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17667,1055,597,1432,699,"만두순두부","饺子嫩豆腐锅"
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17668,1059,679,1149,740,"만두","饺子"
2292,https://flittotk.s3.amazonaws.com/qr-place/item/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20220908_430_1_L7STOMNSLVKQKD7MBDZL.jpg,https://flittotk.s3.amazonaws.com/qr-place/inpainting/QR_20230403_1031_1_LG09OB8HXL8PF4FSFF5A/QR_20230209_430_1508_LDWVRR52D0KKILMU4JVH.jpg,17669,1055,757,1493,859,"햄치즈순두부","火腿奶酪嫩豆腐锅"
