,movie_id,genre
0,1,Adventure
1,1,Animation
2,1,Children
3,1,Comedy
4,1,Fantasy
5,2,Adventure
6,2,Children
7,2,Fantasy
8,3,Comedy
9,3,Romance
10,4,Comedy
11,4,Drama
12,4,Romance
13,5,Comedy
14,6,Action
15,6,Crime
16,6,Thriller
17,7,Comedy
18,7,Romance
19,8,Adventure
20,8,Children
21,9,Action
22,10,Action
23,10,Adventure
24,10,Thriller
25,11,Comedy
26,11,Drama
27,11,Romance
28,12,Comedy
29,12,Horror
30,13,Adventure
31,13,Animation
32,13,Children
33,14,Drama
34,15,Action
35,15,Adventure
36,15,Romance
37,16,Crime
38,16,Drama
39,17,Drama
40,17,Romance
41,18,Comedy
42,19,Comedy
43,20,Action
44,20,Comedy
45,20,Crime
46,20,Drama
47,20,Thriller
48,21,Comedy
49,21,Crime
50,21,Thriller
51,22,Crime
52,22,Drama
53,22,Horror
54,22,Mystery
55,22,Thriller
56,23,Action
57,23,Crime
58,23,Thriller
59,24,Drama
60,24,Sci-Fi
61,25,Drama
62,25,Romance
63,26,Drama
64,27,Children
65,27,Drama
66,28,Drama
67,28,Romance
68,29,Adventure
69,29,Drama
70,29,Fantasy
71,29,Mystery
72,29,Sci-Fi
73,30,Crime
74,30,Drama
75,31,Drama
76,32,Mystery
77,32,Sci-Fi
78,32,Thriller
79,33,Adventure
80,33,Romance
81,33,IMAX
82,34,Children
83,34,Drama
84,35,Drama
85,35,Romance
86,36,Crime
87,36,Drama
88,37,Documentary
89,37,IMAX
90,38,Children
91,38,Comedy
92,39,Comedy
93,39,Romance
94,40,Drama
95,41,Drama
96,41,War
97,42,Action
98,42,Crime
99,42,Drama
100,43,Drama
101,44,Action
102,44,Adventure
103,44,Fantasy
104,45,Comedy
105,45,Drama
106,45,Thriller
107,46,Drama
108,46,Romance
109,47,Mystery
110,47,Thriller
111,48,Animation
112,48,Children
113,48,Drama
114,48,Musical
115,48,Romance
116,49,Drama
117,49,Romance
118,50,Crime
119,50,Mystery
120,50,Thriller
121,51,Action
122,51,Drama
123,51,Thriller
124,52,Comedy
125,52,Drama
126,52,Romance
127,53,Adventure
128,53,Drama
129,54,Children
130,54,Comedy
131,55,Drama
132,56,Adventure
133,56,Children
134,56,Fantasy
135,57,Drama
136,58,Comedy
137,58,Drama
138,58,Romance
139,59,Drama
140,59,Mystery
141,60,Adventure
142,60,Children
143,60,Fantasy
144,61,Drama
145,61,Thriller
146,62,Drama
147,63,Comedy
148,63,Crime
149,64,Comedy
150,64,Romance
151,65,Comedy
152,66,Action
153,66,Sci-Fi
154,66,Thriller
155,67,Drama
156,68,Comedy
157,68,Romance
158,69,Comedy
159,70,Action
160,70,Comedy
161,70,Horror
162,70,Thriller
163,71,Action
164,72,Comedy
165,72,Drama
166,73,Drama
167,73,War
168,74,Drama
169,74,Romance
170,75,Comedy
171,75,Drama
172,76,Action
173,76,Sci-Fi
174,76,Thriller
175,77,Documentary
176,78,Action
177,78,Crime
178,78,Drama
179,78,Thriller
180,79,Drama
181,79,Thriller
182,80,Children
183,80,Drama
184,81,Crime
185,81,Drama
186,81,Romance
187,82,Comedy
188,82,Drama
189,83,Drama
190,83,Romance
191,84,Comedy
192,84,Drama
193,85,Drama
194,85,Romance
195,86,Action
196,86,Adventure
197,86,Drama
198,87,Children
199,87,Comedy
200,88,Comedy
201,89,Action
202,89,Thriller
203,90,Drama
204,92,Drama
205,92,Horror
206,92,Thriller
207,93,Comedy
208,93,Horror
209,93,Romance
210,94,Comedy
211,94,Drama
212,94,Romance
213,95,Action
214,95,Adventure
215,95,Thriller
216,96,Comedy
217,96,Drama
218,97,Crime
219,97,Drama
220,98,Action
221,98,Thriller
222,99,Documentary
223,100,Drama
224,100,Thriller
225,101,Adventure
226,101,Comedy
227,101,Crime
228,101,Romance
229,102,Comedy
230,103,Mystery
231,103,Sci-Fi
232,103,Thriller
233,104,Comedy
234,105,Drama
235,105,Romance
236,106,Comedy
237,106,Drama
238,107,Adventure
239,107,Children
240,107,Comedy
241,107,Musical
242,108,Documentary
243,109,Comedy
244,109,Drama
245,109,Thriller
246,110,Action
247,110,Drama
248,110,War
249,111,Crime
250,111,Drama
251,111,Thriller
252,112,Action
253,112,Adventure
254,112,Comedy
255,112,Crime
256,113,Drama
257,113,Mystery
258,114,Drama
259,115,Comedy
260,116,Documentary
261,117,Crime
262,117,Drama
263,118,Comedy
264,118,Romance
265,119,Comedy
266,120,Adventure
267,120,Comedy
268,120,Drama
269,121,Drama
270,122,Comedy
271,122,Romance
272,123,Drama
273,123,Mystery
274,123,Romance
275,124,Drama
276,125,Comedy
277,126,Adventure
278,126,Children
279,126,Fantasy
280,127,Drama
281,128,Documentary
282,129,Comedy
283,129,Romance
284,130,Drama
285,131,Drama
286,131,Romance
287,132,Thriller
288,133,Comedy
289,133,Drama
290,134,Documentary
291,135,Comedy
292,136,Documentary
293,137,Documentary
294,138,Drama
295,139,Action
296,139,Drama
297,140,Drama
298,140,Romance
299,141,Comedy
300,142,Drama
301,143,Drama
302,144,Comedy
303,145,Action
304,145,Comedy
305,145,Crime
306,145,Drama
307,145,Thriller
308,146,Adventure
309,146,Children
310,147,Drama
311,148,Drama
312,149,Crime
313,149,Drama
314,149,Thriller
315,150,Adventure
316,150,Drama
317,150,IMAX
318,151,Action
319,151,Drama
320,151,Romance
321,151,War
322,152,Drama
323,152,Horror
324,153,Action
325,153,Adventure
326,153,Comedy
327,153,Crime
328,154,Drama
329,155,Adventure
330,155,Drama
331,155,War
332,156,Comedy
333,156,Drama
334,157,Comedy
335,157,War
336,158,Adventure
337,158,Children
338,159,Crime
339,159,Drama
340,159,Mystery
341,160,Action
342,160,Adventure
343,160,Mystery
344,160,Sci-Fi
345,161,Drama
346,161,Thriller
347,161,War
348,162,Documentary
349,163,Action
350,163,Romance
351,163,Western
352,164,Crime
353,164,Film-Noir
354,164,Mystery
355,164,Thriller
356,165,Action
357,165,Crime
358,165,Thriller
359,166,Comedy
360,166,Crime
361,166,Drama
362,167,Drama
363,168,Action
364,168,Drama
365,168,Romance
366,169,Adventure
367,169,Children
368,169,Drama
369,170,Action
370,170,Adventure
371,170,Crime
372,170,Thriller
373,171,Comedy
374,171,Drama
375,172,Action
376,172,Sci-Fi
377,172,Thriller
378,173,Action
379,173,Crime
380,173,Sci-Fi
381,174,Comedy
382,175,Drama
383,176,Comedy
384,177,Horror
385,178,Comedy
386,178,Drama
387,179,Drama
388,179,Romance
389,180,Comedy
390,180,Romance
391,181,Action
392,181,Children
393,182,Drama
394,182,Romance
395,183,Comedy
396,183,Horror
397,183,Thriller
398,184,Drama
399,185,Action
400,185,Crime
401,185,Thriller
402,186,Comedy
403,186,Romance
404,187,Comedy
405,188,Fantasy
406,188,Horror
407,188,Mystery
408,189,Comedy
409,189,Fantasy
410,190,Thriller
411,191,Drama
412,191,Romance
413,192,Documentary
414,193,Drama
415,194,Comedy
416,194,Drama
417,195,Comedy
418,195,Drama
419,195,Romance
420,196,Horror
421,196,Sci-Fi
422,197,Drama
423,198,Action
424,198,Crime
425,198,Drama
426,198,Mystery
427,198,Sci-Fi
428,198,Thriller
429,199,Drama
430,199,Musical
431,199,Romance
432,200,Thriller
433,201,Drama
434,201,Fantasy
435,202,Drama
436,202,Romance
437,203,Comedy
438,204,Action
439,205,Comedy
440,205,Drama
441,206,Documentary
442,207,Drama
443,207,Romance
444,208,Action
445,208,Adventure
446,208,Sci-Fi
447,209,Drama
448,210,Western
449,211,Drama
450,212,Adventure
451,212,Comedy
452,212,Crime
453,212,Mystery
454,213,Drama
455,214,Drama
456,214,War
457,215,Drama
458,215,Romance
459,216,Comedy
460,217,Drama
461,217,Thriller
462,218,Comedy
