artist_id,artist_name
0,betty blowtorch
1,die Ärzte
2,melissa etheridge
3,elvenking
4,juliette & the licks
5,red hot chili peppers
6,magica
7,the black dahlia murder
8,the murmurs
9,lunachicks
10,walls of jericho
11,letzte instanz
12,goldfrapp
13,horrorpops
14,the butchies
15,jack off jill
16,babes in toyland
17,dropkick murphys
18,all:my:faults
19,le tigre
20,schandmaul
21,edguy
22,maximum the hormone
23,all ends
24,jack johnson
25,eluveitie
26,rasputina
27,london after midnight
28,the killers
29,mutyumu
30,judas priest
31,rob zombie
32,the bosshoss
33,blue Öyster cult
34,sandra nasic
35,john mayer
36,sleater-kinney
37,the who
38,disciple
39,tanzwut
40,guano apes
41,the rolling stones
42,little big town
43,team dresch
44,betty
45,l7
46,bif naked
47,girlschool
48,the wallflowers
49,the most serene republic
50,stars
51,broken social scene
52,have heart
53,luminous orange
54,boris
55,arctic monkeys
56,bright eyes
57,coaltar of the deepers
58,polar bear club
59,the libertines
60,death from above 1979
61,owl city
62,coldplay
63,okkervil river
64,jim sturgess
65,deerhoof
66,fear before the march of flames
67,breathe carolina
68,mstrkrft
69,arcade fire
70,the strokes
71,cancer bats
72,the honorary title
73,michio kurihara
74,mgmt
75,queen
76,the secret handshake
77,animal collective
78,heavy heavy low low
79,hot hot heat
80,hadouken!
81,the wombats
82,ai aso
83,boris with michio kurihara
84,uffie
85,the last shadow puppets
86,boys noize
87,built to spill
88,nujabes
89,the rocket summer
90,little dragon
91,boris with merzbow
92,the album leaf
93,the microphones
94,simian mobile disco
95,m.i.a.
96,death cab for cutie
97,patrick wolf
98,the fiery furnaces
99,digitalism
100,current 93
101,coil
102,andrew liles
103,six organs of admittance
104,16 horsepower
105,angels of light
106,the legendary pink dots
107,charalambides
108,festival
109,fern knight
110,nick cave & the bad seeds
111,fovea hex
112,amanda rogers
113,lux interna
114,nalle
115,antony and the johnsons
116,marissa nadler
117,a silver mt. zion
118,einstürzende neubauten
119,marc almond
120,mariee sioux
121,björk
122,bill fay
123,nurse with wound
124,baby dee
125,ghq
126,daniel higgs
127,flairck
128,jack rose
129,castanets
130,john jacob niles
131,the revolutionary army of the infant jesus
132,carter tutti
133,the one ensemble
